task_id,task_type,priority,offset_ms,submit_ms,start_ms,end_ms,latency_ms,status,worker,exec_ms
mixed-42-00286,SORT_TASK,4,58909,58911,58966,58966,55,COMPLETED,worker-1,0
mixed-42-00287,SORT_TASK,9,59079,59082,59181,59181,99,COMPLETED,worker-1,1
mixed-42-00288,MATRIX_TASK,10,59089,59091,59183,59183,92,COMPLETED,worker-1,13
mixed-42-00289,GRAPH_TASK,3,59154,59156,59184,59184,28,COMPLETED,worker-1,8
mixed-42-00290,GRAPH_TASK,7,59173,59177,59186,59300,123,COMPLETED,worker-1,34
mixed-42-00291,FILE_IO_TASK,5,59275,59278,59301,59408,130,COMPLETED,worker-1,32
mixed-42-00292,MONTE_CARLO_TASK,9,59392,59396,59410,59625,229,COMPLETED,worker-1,147
mixed-42-00293,MATRIX_TASK,5,59418,59420,59514,59514,94,COMPLETED,worker-1,16
mixed-42-00294,HTTP_TASK,3,59454,59456,59516,59846,390,COMPLETED,worker-1,291
mixed-42-00295,FILE_IO_TASK,9,59804,59811,59850,59969,158,COMPLETED,worker-1,43
mixed-42-00296,SLEEP_TASK,4,59891,59906,59972,60201,295,COMPLETED,worker-1,180
mixed-42-00297,SORT_TASK,1,59933,59937,59976,59976,39,COMPLETED,worker-1,4
mixed-42-00298,GRAPH_TASK,8,59939,59943,59979,60083,140,COMPLETED,worker-1,78
mixed-42-00299,CPU_TASK,4,59988,59996,60085,60085,89,COMPLETED,worker-1,10
